,city,stars
0,Dravosburg,4.5
1,Dravosburg,3.5
2,Dravosburg,5.0
3,Bethel Park,2.5
4,Pittsburgh,2.5
5,rankin,5.0
6,Pittsburgh,2.5
7,Carnegie,4.0
8,Carnegie,2.5
9,Carnegie,4.0
10,Carnegie,2.5
11,Pittsburgh,4.0
12,Carnegie,4.5
13,Carnegie,3.5
14,Carnegie,3.5
15,Carnegie,4.0
16,Carnegie,3.0
17,Carnegie,3.0
18,Carnegie,4.0
19,Carnegie,4.5
20,Carnegie,3.5
21,Carnegie,3.5
22,Carnegie,3.0
23,Carnegie,2.5
24,Carnegie,4.5
25,Carnegie,2.5
26,Carnegie,3.5
27,Carnegie,3.0
28,Carnegie,2.5
29,Carnegie,4.0
30,Pittsburgh,4.0
31,Carnegie,3.0
32,Carnegie,3.5
33,Pittsburgh,2.5
34,Homestead,3.5
35,Homestead,3.5
36,Homestead,2.5
37,Munhall,3.0
38,Homestead,4.0
39,Munhall,2.0
40,Homestead,4.0
41,Homestead,3.5
42,Homestead,4.5
43,Homestead,3.0
44,Homestead,3.5
45,Homestead,2.5
46,Homestead,5.0
47,Homestead,2.0
48,Homestead,2.5
49,Homestead,3.5
50,Homestead,3.5
51,Homestead,3.0
52,Homestead,3.5
53,Homestead,3.5
54,West Homestead,2.5
55,Homestead,3.0
56,Homestead,5.0
57,Homestead,5.0
58,Munhall,3.5
59,Homestead,2.5
60,Homestead,3.0
61,Homestead,4.5
62,Homestead,2.0
63,Homestead,4.5
64,West Homestead,3.0
65,Homestead,4.0
66,West Homestead,3.0
67,Homestead,3.5
68,Homestead,3.5
69,Homestead,2.5
70,Munhall,3.5
71,Homestead,4.0
72,Homestead,3.0
73,Homestead,3.0
74,Homestead,4.0
75,Homestead,3.0
76,Pittsburgh/Waterfront,3.5
77,Homestead,3.0
78,Homestead,3.0
79,West Mifflin,3.0
80,West Mifflin,2.5
81,West Mifflin,1.0
82,West Mifflin,4.0
83,West Mifflin,4.5
84,West Mifflin,3.0
85,West Mifflin,5.0
86,McKeesport,5.0
87,Mc Kees Rocks,4.5
88,McKees Rocks,4.0
89,McKees Rocks,4.5
90,Mc Kees Rocks,4.0
91,Mc Kees Rocks,3.5
92,McKees Rocks,3.5
93,McKees Rocks,3.5
94,Pittsburgh,4.5
95,Mc Kees Rocks,4.5
96,Pittsburgh,3.5
97,Bellvue,4.0
98,Pittsburgh,4.5
99,Bellevue,4.0
100,Pittsburgh,2.0
101,Bellevue,3.0
102,Pittsburgh,1.5
103,Bellevue,3.0
104,Pittsburgh,1.5
105,Pittsburgh,3.5
106,Bellevue,5.0
107,Bellevue,4.5
108,Bellvue,2.5
109,Bellevue,4.0
110,Pittsburgh,2.5
111,Pittsburgh,3.0
112,Bellevue,4.0
113,Pittsburgh,3.5
114,Bellevue,3.5
115,Pittsburgh,3.5
116,Pittsburgh,5.0
117,Pittsburgh,4.0
118,Pittsburgh,4.0
119,Pittsburgh,3.0
120,Pittsburgh,4.5
121,Pittsburgh,5.0
122,Pittsburgh,4.0
123,Pittsburgh,2.0
124,Pittsburgh,2.0
125,Pittsburgh,4.0
126,Pittsburgh,5.0
127,Pittsburgh,2.5
128,Pittsburgh,3.0
129,Pittsburgh,3.0
130,Pittsburgh,2.0
