year,region,"disaster type",occurrence,"Total deaths",Affected,Injured,Homeless,"Total affected","Total damage"
1900,Caribbean,Epidemic,1,30,0,0,0,0,0
1900,Caribbean,Flood,1,300,0,0,0,0,0
1900,"Northern America",Storm,1,6000,0,0,0,0,30000
1902,Caribbean,"Volcanic activity",2,31565,0,0,0,0,0
1902,"Central America",Earthquake,2,2185,0,0,0,0,0
1902,"Central America","Volcanic activity",2,7000,0,0,0,0,0
1903,Caribbean,Storm,1,65,0,0,0,0,0
1903,"Northern America",Flood,2,250,0,0,0,0,480000
1903,"Northern America","Mass movement (dry)",1,76,0,23,0,23,0
1903,"Northern America",Storm,1,98,0,0,0,0,0
1904,"South America",Earthquake,1,0,0,0,0,0,0
1905,"Northern America","Mass movement (dry)",1,18,0,18,0,18,0
1906,"Central America",Earthquake,2,1000,0,0,0,0,0
1906,"Northern America",Earthquake,1,2000,0,0,0,0,524000
1906,"Northern America",Storm,2,298,0,0,0,0,0
1906,"South America",Earthquake,3,20400,0,0,0,0,100000
1907,Caribbean,Earthquake,1,1200,90000,0,0,90000,30000
1908,"Northern America","Mass movement (dry)",1,33,0,0,0,0,0
1909,Caribbean,Landslide,1,53,0,0,0,0,0
1909,Caribbean,Storm,1,150,0,0,0,0,0
1909,"Northern America",Flood,1,72,0,0,0,0,0
1909,"Northern America",Storm,2,391,0,0,0,0,0
1910,"Central America",Earthquake,1,1750,0,0,0,0,0
1910,"Northern America","Mass movement (dry)",1,62,0,0,0,0,0
1910,"Northern America",Storm,1,30,0,0,0,0,0
1911,"Northern America",Wildfire,1,73,0,0,200,200,0
1912,Caribbean,Storm,1,142,0,0,94820,94820,0
1912,"Northern America",Storm,1,28,0,200,2500,2700,5000
1913,"Northern America",Storm,1,732,0,0,0,0,200000
1913,"South America",Earthquake,1,150,0,0,0,0,0
1915,Caribbean,Storm,1,1600,0,0,0,0,0
1915,"Central America",Earthquake,1,0,0,0,0,0,0
1915,"Northern America",Earthquake,1,6,0,0,0,0,1000
1915,"Northern America","Mass movement (dry)",1,56,0,22,0,22,0
1915,"Northern America",Storm,1,525,0,0,0,0,60000
1917,Caribbean,Storm,1,57,0,0,0,0,0
1917,"Central America",Earthquake,1,2650,0,0,0,0,0
1918,Caribbean,Earthquake,1,116,0,0,0,0,0
1918,"Northern America",Earthquake,1,116,0,0,0,0,29000
1918,"Northern America",Epidemic,1,50000,2000000,0,0,2000000,0
1918,"Northern America",Storm,1,34,0,0,0,0,0
1918,"Northern America",Wildfire,1,1000,0,0,0,0,100000
1919,Caribbean,Drought,1,0,0,0,0,0,0
1919,Caribbean,Epidemic,1,0,0,0,0,0,0
1919,"Northern America",Storm,1,500,0,0,0,0,25000
1920,Caribbean,Epidemic,1,0,0,0,0,0,0
1920,"Northern America",Storm,1,224,0,0,0,0,0
1921,Caribbean,Epidemic,1,0,0,0,0,0,0
1922,Caribbean,Epidemic,1,0,0,0,0,0,0
1922,"Northern America",Wildfire,1,43,0,0,11000,11000,8000
1922,"South America",Earthquake,2,1100,0,0,0,0,0
1923,Caribbean,Epidemic,1,0,0,0,0,0,0
1923,Caribbean,Storm,1,4,0,0,1300,1300,0
1924,"South America",Earthquake,1,40,0,0,0,0,0
1925,"Northern America",Earthquake,1,13,0,0,0,0,8000
1925,"Northern America",Storm,1,739,0,0,0,0,18000
1926,Caribbean,Storm,2,600,0,0,0,0,0
1926,"Northern America",Storm,2,268,0,0,0,0,73000
1926,"South America",Landslide,1,100,0,0,0,0,0
1927,"Northern America",Flood,1,246,0,0,0,0,230
1927,"Northern America",Storm,1,87,0,0,0,0,22000
1928,Caribbean,Storm,4,2300,0,0,0,0,50000
1928,"Northern America",Earthquake,1,27,0,0,0,0,0
1928,"Northern America",Storm,1,1836,0,0,0,0,25000
1928,"South America",Earthquake,1,220,0,0,0,0,0
1929,Caribbean,Storm,1,0,0,0,0,0,0
1929,"Central America","Volcanic activity",1,5000,0,0,0,0,0
1929,"Central America",Wildfire,1,60,0,0,0,0,0
1930,Caribbean,Storm,2,4000,6000,6000,0,12000,40000
1931,"Central America",Earthquake,1,1000,0,0,0,0,15000
1931,"Central America",Storm,2,3000,0,0,0,0,7500
1931,"Northern America",Drought,1,0,25000,0,0,25000,0
1931,"South America",Landslide,1,190,0,0,0,0,0
1932,Caribbean,Epidemic,1,16,0,0,0,0,0
1932,Caribbean,Storm,2,2725,0,0,0,0,30000
1932,"Northern America",Storm,2,372,0,0,0,0,0
1933,Caribbean,Flood,1,53,0,0,0,0,0
1933,Caribbean,Storm,2,23,0,0,0,0,3000
1933,"Northern America",Drought,1,0,0,0,0,0,0
1933,"Northern America",Earthquake,1,116,0,0,0,0,38500
1933,"Northern America",Storm,1,40,0,0,0,0,0
1934,"Central America",Storm,1,2000,0,0,0,0,0
1935,Caribbean,Storm,4,2199,0,500,0,500,2000
1935,"Northern America",Storm,1,408,0,0,0,0,6000
1936,"Northern America","Extreme temperature ",2,1693,0,0,0,0,0
1936,"Northern America",Flood,1,200,0,0,0,0,0
1936,"Northern America",Storm,1,455,0,0,0,0,21000
1937,Caribbean,Flood,1,111,0,0,0,0,0
1937,Caribbean,"Mass movement (dry)",1,40,0,0,0,0,0
1937,"Northern America",Flood,1,137,0,0,0,0,438000
1938,"Northern America",Landslide,1,200,0,0,0,0,0
1938,"Northern America",Storm,1,600,0,0,0,0,306000
1939,"South America",Earthquake,1,30000,0,58500,0,58500,920000
1940,Caribbean,Flood,1,125,0,0,2000,2000,0
1940,"Northern America",Earthquake,1,9,0,0,0,0,33000
1940,"Northern America",Storm,1,50,0,0,0,0,0
1940,"South America",Earthquake,1,249,0,0,0,0,0
1941,"Central America",Earthquake,1,174,0,0,0,0,0
1941,"South America",Landslide,1,5000,0,0,0,0,0
1942,"South America",Earthquake,2,205,0,16,0,16,28000
1943,"Central America","Volcanic activity",1,0,3000,0,0,3000,0
1943,"Northern America",Flood,1,0,0,0,0,0,900000
1943,"South America",Earthquake,2,212,0,35,0,35,100000
1944,Caribbean,Storm,2,32,0,0,2000,2000,0
1944,"Northern America",Storm,1,390,0,0,0,0,100000
1944,"Northern America",Wildfire,1,121,0,0,0,0,0
1944,"South America",Earthquake,1,10000,120000,35000,0,155000,0
1945,Caribbean,Storm,1,22,0,0,0,0,0
1945,"Northern America",Storm,3,196,0,0,0,0,0
1946,Caribbean,Earthquake,1,73,0,0,0,0,0
1946,"Northern America",Earthquake,1,165,0,0,0,0,25000
1946,"Northern America",Storm,2,50,0,0,0,0,500
1946,"South America",Earthquake,2,1400,0,0,0,0,0
1947,"Northern America",Storm,4,308,0,0,0,0,100000
1947,"Northern America",Wildfire,1,0,0,0,0,0,30000
1947,"South America",Earthquake,1,233,0,0,0,0,0
1948,Caribbean,Storm,2,14,0,300,0,300,18000
1948,"Northern America",Flood,1,55,0,0,0,0,0
1948,"Northern America",Storm,2,42,0,0,0,0,0
1948,"South America",Flood,1,200,0,0,0,0,0
1948,"South America","Volcanic activity",1,100,0,0,0,0,0
1949,"Central America",Flood,1,40000,0,0,0,0,15000
1949,"Central America","Volcanic activity",1,1000,0,0,0,0,0
1949,"Northern America",Earthquake,1,8,0,0,0,0,80000
1949,"Northern America",Storm,2,87,0,0,0,0,0
1949,"South America",Earthquake,4,6041,105000,173,0,105173,64200
1949,"South America",Storm,1,100,0,0,0,0,0
1949,"South America","Volcanic activity",1,1000,0,0,0,0,0
1950,Caribbean,Storm,1,2,0,0,0,0,1000
1950,"Northern America",Flood,2,34,107000,0,0,107000,100000
1950,"Northern America",Storm,4,272,0,0,0,0,100000
1950,"South America",Earthquake,3,333,0,200,40000,40200,0
1950,"South America",Flood,1,50,0,0,0,0,0
1950,"South America",Landslide,1,130,0,0,0,0,0
1951,Caribbean,Storm,1,154,20000,200,0,20200,56000
1951,"Central America",Earthquake,2,1500,0,0,0,0,23000
1951,"Central America",Storm,1,50,0,0,0,0,0
1951,"Northern America","Extreme temperature ",2,69,0,0,0,0,100000
1951,"Northern America",Flood,1,41,0,0,0,0,1029000
1952,Caribbean,Earthquake,1,6,0,0,0,0,20000
1952,"Central America",Flood,2,140,0,0,0,0,0
1952,"Northern America",Earthquake,3,16,0,0,0,0,80900
1952,"Northern America",Storm,2,279,0,0,0,0,0
1953,"Northern America",Epidemic,1,481,8000,0,0,8000,0
