,business_id,full_address,hours,open,categories,city,review_count,name,neighborhoods,longitude,state,stars,latitude,attributes,type
0,5UmKMjUEUNdYWqANhGckJw,"4734 Lebanon Church Rd
Dravosburg, PA 15034","{u'Tuesday': {u'close': u'21:00', u'open': u'11:00'}, u'Friday': {u'close': u'21:00', u'open': u'11:00'}, u'Monday': {u'close': u'21:00', u'open': u'11:00'}, u'Wednesday': {u'close': u'21:00', u'open': u'11:00'}, u'Thursday': {u'close': u'21:00', u'open': u'11:00'}}",True,"[u'Fast Food', u'Restaurants']",Dravosburg,4,Mr Hoagie,[],-79.9007057,PA,4.5,40.3543266,"{u'Take-out': True, u'Drive-Thru': False, u'Outdoor Seating': False, u'Caters': False, u'Noise Level': u'average', u'Parking': {u'garage': False, u'street': False, u'validated': False, u'lot': False, u'valet': False}, u'Delivery': False, u'Attire': u'casual', u'Has TV': False, u'Price Range': 1, u'Good For': {u'dessert': False, u'latenight': False, u'lunch': False, u'dinner': False, u'breakfast': False, u'brunch': False}, u'Takes Reservations': False, u'Ambience': {u'romantic': False, u'intimate': False, u'classy': False, u'hipster': False, u'divey': False, u'touristy': False, u'trendy': False, u'upscale': False, u'casual': False}, u'Waiter Service': False, u'Accepts Credit Cards': True, u'Good for Kids': True, u'Good For Groups': True, u'Alcohol': u'none'}",business
1,UsFtqoBl7naz8AVUBZMjQQ,"202 McClure St
Dravosburg, PA 15034",{},True,[u'Nightlife'],Dravosburg,4,Clancy's Pub,[],-79.8868138,PA,3.5,40.3505527,"{u'Happy Hour': True, u'Accepts Credit Cards': True, u'Good For Groups': True, u'Outdoor Seating': False, u'Price Range': 1}",business
2,3eu6MEFlq2Dg7bQh8QbdOg,"1 Ravine St
Dravosburg, PA 15034",{},True,"[u'Auto Repair', u'Automotive']",Dravosburg,3,Joe Cislo's Auto,[],-79.889059,PA,5.0,40.3509559,{},business
3,cE27W9VPgO88Qxe4ol6y_g,"1530 Hamilton Rd
Bethel Park, PA 15234",{},False,"[u'Active Life', u'Mini Golf', u'Golf']",Bethel Park,5,Cool Springs Golf Center,[],-80.0146597,PA,2.5,40.3541155,{u'Good for Kids': True},business
4,HZdLhv6COCleJMo7nPl-RA,"301 South Hills Village
Pittsburgh, PA 15241","{u'Monday': {u'close': u'21:00', u'open': u'10:00'}, u'Tuesday': {u'close': u'21:00', u'open': u'10:00'}, u'Friday': {u'close': u'17:00', u'open': u'10:00'}, u'Wednesday': {u'close': u'21:00', u'open': u'10:00'}, u'Thursday': {u'close': u'17:00', u'open': u'10:00'}, u'Sunday': {u'close': u'18:00', u'open': u'11:00'}, u'Saturday': {u'close': u'21:00', u'open': u'10:00'}}",True,"[u'Shopping', u'Home Services', u'Internet Service Providers', u'Mobile Phones', u'Professional Services', u'Electronics']",Pittsburgh,5,Verizon,[],-80.05998,PA,2.5,40.35762,"{u'Accepts Credit Cards': False, u'Price Range': 2, u'Parking': {u'garage': False, u'street': False, u'validated': False, u'lot': False, u'valet': False}}",business
5,mVHrayjG3uZ_RLHkLj-AMg,"414 Hawkins Ave
rankin, PA 15104","{u'Tuesday': {u'close': u'19:00', u'open': u'10:00'}, u'Friday': {u'close': u'20:00', u'open': u'10:00'}, u'Wednesday': {u'close': u'19:00', u'open': u'10:00'}, u'Thursday': {u'close': u'19:00', u'open': u'10:00'}, u'Saturday': {u'close': u'16:00', u'open': u'10:00'}}",True,"[u'Bars', u'American (New)', u'Nightlife', u'Lounges', u'Restaurants']",rankin,20,Emil's Lounge,[],-79.8802474,PA,5.0,40.4134643,"{u'Alcohol': u'full_bar', u'Noise Level': u'average', u'Music': {u'dj': False}, u'Attire': u'casual', u'Ambience': {u'romantic': False, u'intimate': False, u'classy': False, u'hipster': False, u'divey': False, u'touristy': False, u'trendy': False, u'upscale': False, u'casual': False}, u'Good for Kids': True, u'Price Range': 1, u'Good For Dancing': False, u'Delivery': False, u'Coat Check': False, u'Smoking': u'no', u'Accepts Credit Cards': True, u'Take-out': True, u'Happy Hour': False, u'Outdoor Seating': False, u'Takes Reservations': False, u'Waiter Service': True, u'Wi-Fi': u'no', u'Caters': True, u'Good For': {u'dessert': False, u'latenight': False, u'lunch': True, u'dinner': False, u'brunch': False, u'breakfast': False}, u'Parking': {u'garage': False, u'street': False, u'validated': False, u'lot': False, u'valet': False}, u'Has TV': True, u'Good For Groups': True}",business
6,VHYT1qgQw5JvXAlUDhTArA,"2101 Greentree Rd Ste B201
Pittsburgh, PA 15220",{},True,"[u'Active Life', u'Trainers', u'Fitness & Instruction']",Pittsburgh,3,Extreme Fitness 2,[],-80.0708968,PA,2.5,40.3903858,{u'Good for Kids': False},business
7,KayYbHCt-RkbGcPdGOThNg,"141 Hawthorne St
Greentree
Carnegie, PA 15106","{u'Monday': {u'close': u'02:00', u'open': u'11:00'}, u'Tuesday': {u'close': u'02:00', u'open': u'11:00'}, u'Friday': {u'close': u'02:00', u'open': u'11:00'}, u'Wednesday': {u'close': u'02:00', u'open': u'11:00'}, u'Thursday': {u'close': u'02:00', u'open': u'11:00'}, u'Saturday': {u'close': u'02:00', u'open': u'12:00'}}",True,"[u'Bars', u'American (Traditional)', u'Nightlife', u'Restaurants']",Carnegie,21,Alexion's Bar & Grill,[u'Greentree'],-80.067534,PA,4.0,40.415517,"{u'Alcohol': u'full_bar', u'Noise Level': u'loud', u'Music': {u'dj': False}, u'Attire': u'casual', u'Ambience': {u'romantic': False, u'intimate': False, u'touristy': False, u'hipster': False, u'divey': False, u'classy': False, u'trendy': False, u'upscale': False, u'casual': True}, u'Good for Kids': False, u'Price Range': 1, u'Good For Dancing': True, u'Delivery': False, u'Coat Check': False, u'Smoking': u'outdoor', u'Accepts Credit Cards': True, u'Take-out': True, u'Happy Hour': True, u'Outdoor Seating': True, u'Takes Reservations': False, u'Waiter Service': True, u'Wi-Fi': u'free', u'Caters': False, u'Good For': {u'dessert': False, u'latenight': False, u'lunch': False, u'dinner': True, u'breakfast': False, u'brunch': False}, u'Parking': {u'garage': False, u'street': False, u'validated': False, u'lot': True, u'valet': False}, u'Has TV': True, u'Good For Groups': True}",business
8,b12U9TFESStdy7CsTtcOeg,"718A Hope Hollow Rd
Carnegie, PA 15106","{u'Monday': {u'close': u'19:00', u'open': u'07:30'}, u'Tuesday': {u'close': u'19:00', u'open': u'07:30'}, u'Friday': {u'close': u'19:00', u'open': u'07:30'}, u'Wednesday': {u'close': u'19:00', u'open': u'07:30'}, u'Thursday': {u'close': u'19:00', u'open': u'07:30'}, u'Saturday': {u'close': u'16:00', u'open': u'07:30'}}",True,"[u'Auto Repair', u'Automotive', u'Tires']",Carnegie,7,Flynn's Tire And Auto Service,[],-80.0844539,PA,2.5,40.394588,{},business
9,Sktj1eHQFuVa-M4bgnEh8g,"920 Forsythe Rd
Carnegie
Carnegie, PA 15106",{},False,"[u'Active Life', u'Mini Golf']",Carnegie,4,Forsythe Miniature Golf & Snacks,[u'Carnegie'],-80.0762665,PA,4.0,40.4054039,{u'Good for Kids': True},business
